Provinsi,NamaKab/Kota,KodeKab/Kota,Lapangan pekerjaan,Jumlah individu yang bekerja
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Pertambangan /penggalian,18
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Industri pengolahan,708
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Listrik dan gas,32
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Bangunan /konstruksi,"1,215"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Perdagangan,"2,633"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Hotel dan rumah makan,801
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Transportasi dan pergudangan,"3,337"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Informasi & komunikasi,52
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Keuangan dan asuransi,17
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",240
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Pemulung,"4,405"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Lainnya,328
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Pertanian tanaman padi & palawija,"2,823"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Hortikultura,78
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Perkebunan,133
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Perikanan Tangkap,22
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Perikanan Budidaya,19
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Peternakan,78
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Kehutanan/ pertanian lainnya,32
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Pertambangan /penggalian,46
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Industri pengolahan,"1,982"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Listrik dan gas,111
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Bangunan /konstruksi,"4,026"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Perdagangan,"5,313"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Hotel dan rumah makan,703
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Transportasi dan pergudangan,"2,349"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Informasi & komunikasi,77
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Keuangan dan asuransi,117
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",239
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Pemulung,"6,334"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Lainnya,"1,491"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Pertanian tanaman padi & palawija,374
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Hortikultura,60
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Perkebunan,240
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Perikanan Tangkap,15
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Perikanan Budidaya,22
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Peternakan,80
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Kehutanan/ pertanian lainnya,79
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Pertambangan /penggalian,34
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Industri pengolahan,"1,120"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Listrik dan gas,46
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Bangunan /konstruksi,"2,271"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Perdagangan,"3,347"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Hotel dan rumah makan,290
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Transportasi dan pergudangan,"2,206"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Informasi & komunikasi,30
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Keuangan dan asuransi,25
SUMATERA UTARA,KOTA TEBING TINGGI,1274,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",74
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Pemulung,"4,003"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Lainnya,249
SUMATERA UTARA,KOTA MEDAN,1275,Pertanian tanaman padi & palawija,"1,819"
SUMATERA UTARA,KOTA MEDAN,1275,Hortikultura,227
SUMATERA UTARA,KOTA MEDAN,1275,Perkebunan,255
SUMATERA UTARA,KOTA MEDAN,1275,Perikanan Tangkap,"8,576"
SUMATERA UTARA,KOTA MEDAN,1275,Perikanan Budidaya,243
SUMATERA UTARA,KOTA MEDAN,1275,Peternakan,180
SUMATERA UTARA,KOTA MEDAN,1275,Kehutanan/ pertanian lainnya,192
SUMATERA UTARA,KOTA MEDAN,1275,Pertambangan /penggalian,114
SUMATERA UTARA,KOTA MEDAN,1275,Industri pengolahan,"14,094"
SUMATERA UTARA,KOTA MEDAN,1275,Listrik dan gas,737
SUMATERA UTARA,KOTA MEDAN,1275,Bangunan /konstruksi,"24,874"
SUMATERA UTARA,KOTA MEDAN,1275,Perdagangan,"20,593"
SUMATERA UTARA,KOTA MEDAN,1275,Hotel dan rumah makan,"6,883"
SUMATERA UTARA,KOTA MEDAN,1275,Transportasi dan pergudangan,"21,601"
SUMATERA UTARA,KOTA MEDAN,1275,Informasi & komunikasi,457
SUMATERA UTARA,KOTA MEDAN,1275,Keuangan dan asuransi,319
SUMATERA UTARA,KOTA MEDAN,1275,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan","1,081"
SUMATERA UTARA,KOTA MEDAN,1275,Pemulung,"41,582"
SUMATERA UTARA,KOTA MEDAN,1275,Lainnya,"8,290"
SUMATERA UTARA,KOTA BINJAI,1276,Pertanian tanaman padi & palawija,"1,540"
SUMATERA UTARA,KOTA BINJAI,1276,Hortikultura,150
SUMATERA UTARA,KOTA BINJAI,1276,Perkebunan,277
SUMATERA UTARA,KOTA BINJAI,1276,Perikanan Tangkap,23
SUMATERA UTARA,KOTA BINJAI,1276,Perikanan Budidaya,31
SUMATERA UTARA,KOTA BINJAI,1276,Peternakan,216
SUMATERA UTARA,KOTA BINJAI,1276,Kehutanan/ pertanian lainnya,34
SUMATERA UTARA,KOTA BINJAI,1276,Pertambangan /penggalian,89
SUMATERA UTARA,KOTA BINJAI,1276,Industri pengolahan,"2,310"
SUMATERA UTARA,KOTA BINJAI,1276,Listrik dan gas,97
SUMATERA UTARA,KOTA BINJAI,1276,Bangunan /konstruksi,"4,325"
SUMATERA UTARA,KOTA BINJAI,1276,Perdagangan,"3,401"
SUMATERA UTARA,KOTA BINJAI,1276,Hotel dan rumah makan,861
SUMATERA UTARA,KOTA BINJAI,1276,Transportasi dan pergudangan,"2,400"
SUMATERA UTARA,KOTA BINJAI,1276,Informasi & komunikasi,58
SUMATERA UTARA,KOTA BINJAI,1276,Keuangan dan asuransi,34
SUMATERA UTARA,KOTA BINJAI,1276,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",146
SUMATERA UTARA,KOTA BINJAI,1276,Pemulung,"4,617"
SUMATERA UTARA,KOTA BINJAI,1276,Lainnya,990
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Pertanian tanaman padi & palawija,"5,472"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Hortikultura,575
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Perkebunan,"1,691"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Perikanan Tangkap,39
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Perikanan Budidaya,7
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Peternakan,25
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Kehutanan/ pertanian lainnya,58
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Pertambangan /penggalian,179
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Industri pengolahan,480
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Listrik dan gas,18
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Bangunan /konstruksi,"1,722"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Perdagangan,"2,390"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Hotel dan rumah makan,591
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Transportasi dan pergudangan,"1,661"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Informasi & komunikasi,17
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Keuangan dan asuransi,17
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",57
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Pemulung,"2,323"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Lainnya,114
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Pertanian tanaman padi & palawija,"3,970"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Hortikultura,631
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Perkebunan,"14,242"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Perikanan Tangkap,911
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Perikanan Budidaya,3
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Peternakan,234
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Kehutanan/ pertanian lainnya,44
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Pertambangan /penggalian,656
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Industri pengolahan,296
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Listrik dan gas,8
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Bangunan /konstruksi,"1,947"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Perdagangan,"1,003"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Hotel dan rumah makan,34
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Transportasi dan pergudangan,795
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Informasi & komunikasi,6
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Keuangan dan asuransi,10
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",56
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Pemulung,623
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Lainnya,976
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Pertanian tanaman padi & palawija,"5,007"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Hortikultura,"1,041"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Perkebunan,"8,365"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Perikanan Tangkap,423
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Perikanan Budidaya,10
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Peternakan,335
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Kehutanan/ pertanian lainnya,774
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Pertambangan /penggalian,36
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Industri pengolahan,319
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Listrik dan gas,3
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Bangunan /konstruksi,84
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Perdagangan,73
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Hotel dan rumah makan,10
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Transportasi dan pergudangan,25
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Informasi & komunikasi,0
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Keuangan dan asuransi,1
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",103
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Pemulung,152
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Lainnya,372
SUMATERA BARAT,PESISIR SELATAN,1302,Pertanian tanaman padi & palawija,"23,307"
SUMATERA BARAT,PESISIR SELATAN,1302,Hortikultura,641
SUMATERA BARAT,PESISIR SELATAN,1302,Perkebunan,"8,136"
SUMATERA BARAT,PESISIR SELATAN,1302,Perikanan Tangkap,"4,447"
SUMATERA BARAT,PESISIR SELATAN,1302,Perikanan Budidaya,36
SUMATERA BARAT,PESISIR SELATAN,1302,Peternakan,597
SUMATERA BARAT,PESISIR SELATAN,1302,Kehutanan/ pertanian lainnya,"1,237"
SUMATERA BARAT,PESISIR SELATAN,1302,Pertambangan /penggalian,237
SUMATERA BARAT,PESISIR SELATAN,1302,Industri pengolahan,889
SUMATERA BARAT,PESISIR SELATAN,1302,Listrik dan gas,54
SUMATERA BARAT,PESISIR SELATAN,1302,Bangunan /konstruksi,"2,468"
SUMATERA BARAT,PESISIR SELATAN,1302,Perdagangan,"3,346"
SUMATERA BARAT,PESISIR SELATAN,1302,Hotel dan rumah makan,477
SUMATERA BARAT,PESISIR SELATAN,1302,Transportasi dan pergudangan,"1,170"
SUMATERA BARAT,PESISIR SELATAN,1302,Informasi & komunikasi,20
SUMATERA BARAT,PESISIR SELATAN,1302,Keuangan dan asuransi,22
SUMATERA BARAT,PESISIR SELATAN,1302,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",184
SUMATERA BARAT,PESISIR SELATAN,1302,Pemulung,"1,307"
SUMATERA BARAT,PESISIR SELATAN,1302,Lainnya,"1,895"
SUMATERA BARAT,SOLOK,1303,Pertanian tanaman padi & palawija,"25,150"
SUMATERA BARAT,SOLOK,1303,Hortikultura,"14,838"
SUMATERA BARAT,SOLOK,1303,Perkebunan,"1,745"
SUMATERA BARAT,SOLOK,1303,Perikanan Tangkap,167
SUMATERA BARAT,SOLOK,1303,Perikanan Budidaya,23
SUMATERA BARAT,SOLOK,1303,Peternakan,865
SUMATERA BARAT,SOLOK,1303,Kehutanan/ pertanian lainnya,460
SUMATERA BARAT,SOLOK,1303,Pertambangan /penggalian,237
SUMATERA BARAT,SOLOK,1303,Industri pengolahan,542
SUMATERA BARAT,SOLOK,1303,Listrik dan gas,26
SUMATERA BARAT,SOLOK,1303,Bangunan /konstruksi,"1,851"
SUMATERA BARAT,SOLOK,1303,Perdagangan,"3,228"
SUMATERA BARAT,SOLOK,1303,Hotel dan rumah makan,261
SUMATERA BARAT,SOLOK,1303,Transportasi dan pergudangan,"1,351"
SUMATERA BARAT,SOLOK,1303,Informasi & komunikasi,18
SUMATERA BARAT,SOLOK,1303,Keuangan dan asuransi,15
SUMATERA BARAT,SOLOK,1303,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",181
SUMATERA BARAT,SOLOK,1303,Pemulung,"1,492"
SUMATERA BARAT,SOLOK,1303,Lainnya,973
SUMATERA BARAT,SIJUNJUNG,1304,Pertanian tanaman padi & palawija,"2,075"
SUMATERA BARAT,SIJUNJUNG,1304,Hortikultura,78
SUMATERA BARAT,SIJUNJUNG,1304,Perkebunan,"8,220"
SUMATERA BARAT,SIJUNJUNG,1304,Perikanan Tangkap,32
SUMATERA BARAT,SIJUNJUNG,1304,Perikanan Budidaya,6
SUMATERA BARAT,SIJUNJUNG,1304,Peternakan,215
SUMATERA BARAT,SIJUNJUNG,1304,Kehutanan/ pertanian lainnya,"1,424"
SUMATERA BARAT,SIJUNJUNG,1304,Pertambangan /penggalian,"1,169"
SUMATERA BARAT,SIJUNJUNG,1304,Industri pengolahan,609
SUMATERA BARAT,SIJUNJUNG,1304,Listrik dan gas,8
SUMATERA BARAT,SIJUNJUNG,1304,Bangunan /konstruksi,601
SUMATERA BARAT,SIJUNJUNG,1304,Perdagangan,727
SUMATERA BARAT,SIJUNJUNG,1304,Hotel dan rumah makan,136
SUMATERA BARAT,SIJUNJUNG,1304,Transportasi dan pergudangan,295
SUMATERA BARAT,SIJUNJUNG,1304,Informasi & komunikasi,4
SUMATERA BARAT,SIJUNJUNG,1304,Keuangan dan asuransi,5
SUMATERA BARAT,SIJUNJUNG,1304,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",31
SUMATERA BARAT,SIJUNJUNG,1304,Pemulung,642
SUMATERA BARAT,SIJUNJUNG,1304,Lainnya,150
SUMATERA BARAT,TANAH DATAR,1305,Pertanian tanaman padi & palawija,"11,667"
SUMATERA BARAT,TANAH DATAR,1305,Hortikultura,"4,583"
SUMATERA BARAT,TANAH DATAR,1305,Perkebunan,"2,955"
SUMATERA BARAT,TANAH DATAR,1305,Perikanan Tangkap,169
SUMATERA BARAT,TANAH DATAR,1305,Perikanan Budidaya,7
SUMATERA BARAT,TANAH DATAR,1305,Peternakan,"1,485"
SUMATERA BARAT,TANAH DATAR,1305,Kehutanan/ pertanian lainnya,155
SUMATERA BARAT,TANAH DATAR,1305,Pertambangan /penggalian,188
SUMATERA BARAT,TANAH DATAR,1305,Industri pengolahan,"1,822"
SUMATERA BARAT,TANAH DATAR,1305,Listrik dan gas,18
SUMATERA BARAT,TANAH DATAR,1305,Bangunan /konstruksi,"1,545"
SUMATERA BARAT,TANAH DATAR,1305,Perdagangan,"2,677"
SUMATERA BARAT,TANAH DATAR,1305,Hotel dan rumah makan,371
SUMATERA BARAT,TANAH DATAR,1305,Transportasi dan pergudangan,"1,419"
SUMATERA BARAT,TANAH DATAR,1305,Informasi & komunikasi,13
SUMATERA BARAT,TANAH DATAR,1305,Keuangan dan asuransi,15
SUMATERA BARAT,TANAH DATAR,1305,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",81
SUMATERA BARAT,TANAH DATAR,1305,Pemulung,"1,481"
SUMATERA BARAT,TANAH DATAR,1305,Lainnya,339
SUMATERA BARAT,PADANG PARIAMAN,1306,Pertanian tanaman padi & palawija,"14,801"
SUMATERA BARAT,PADANG PARIAMAN,1306,Hortikultura,578
SUMATERA BARAT,PADANG PARIAMAN,1306,Perkebunan,"2,004"
SUMATERA BARAT,PADANG PARIAMAN,1306,Perikanan Tangkap,654
SUMATERA BARAT,PADANG PARIAMAN,1306,Perikanan Budidaya,88
SUMATERA BARAT,PADANG PARIAMAN,1306,Peternakan,892
SUMATERA BARAT,PADANG PARIAMAN,1306,Kehutanan/ pertanian lainnya,242
SUMATERA BARAT,PADANG PARIAMAN,1306,Pertambangan /penggalian,399
SUMATERA BARAT,PADANG PARIAMAN,1306,Industri pengolahan,"3,059"
SUMATERA BARAT,PADANG PARIAMAN,1306,Listrik dan gas,44
SUMATERA BARAT,PADANG PARIAMAN,1306,Bangunan /konstruksi,"1,927"
SUMATERA BARAT,PADANG PARIAMAN,1306,Perdagangan,"4,052"
SUMATERA BARAT,PADANG PARIAMAN,1306,Hotel dan rumah makan,910
SUMATERA BARAT,PADANG PARIAMAN,1306,Transportasi dan pergudangan,"1,162"
SUMATERA BARAT,PADANG PARIAMAN,1306,Informasi & komunikasi,12
SUMATERA BARAT,PADANG PARIAMAN,1306,Keuangan dan asuransi,12
SUMATERA BARAT,PADANG PARIAMAN,1306,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",68
SUMATERA BARAT,PADANG PARIAMAN,1306,Pemulung,"1,938"
SUMATERA BARAT,PADANG PARIAMAN,1306,Lainnya,"1,279"
SUMATERA BARAT,AGAM,1307,Pertanian tanaman padi & palawija,"14,693"
SUMATERA BARAT,AGAM,1307,Hortikultura,"2,574"
SUMATERA BARAT,AGAM,1307,Perkebunan,"4,394"
SUMATERA BARAT,AGAM,1307,Perikanan Tangkap,408
SUMATERA BARAT,AGAM,1307,Perikanan Budidaya,176
SUMATERA BARAT,AGAM,1307,Peternakan,395
SUMATERA BARAT,AGAM,1307,Kehutanan/ pertanian lainnya,168
SUMATERA BARAT,AGAM,1307,Pertambangan /penggalian,218
SUMATERA BARAT,AGAM,1307,Industri pengolahan,"2,369"
SUMATERA BARAT,AGAM,1307,Listrik dan gas,20
SUMATERA BARAT,AGAM,1307,Bangunan /konstruksi,"1,731"
SUMATERA BARAT,AGAM,1307,Perdagangan,"2,398"
SUMATERA BARAT,AGAM,1307,Hotel dan rumah makan,148
SUMATERA BARAT,AGAM,1307,Transportasi dan pergudangan,902
SUMATERA BARAT,AGAM,1307,Informasi & komunikasi,8
SUMATERA BARAT,AGAM,1307,Keuangan dan asuransi,5
SUMATERA BARAT,AGAM,1307,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",43
SUMATERA BARAT,AGAM,1307,Pemulung,"1,289"
SUMATERA BARAT,AGAM,1307,Lainnya,660
SUMATERA BARAT,LIMA PULUH KOTA,1308,Pertanian tanaman padi & palawija,"19,497"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Hortikultura,"1,424"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Perkebunan,"9,083"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Perikanan Tangkap,77
SUMATERA BARAT,LIMA PULUH KOTA,1308,Perikanan Budidaya,85
SUMATERA BARAT,LIMA PULUH KOTA,1308,Peternakan,"1,879"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Kehutanan/ pertanian lainnya,684
SUMATERA BARAT,LIMA PULUH KOTA,1308,Pertambangan /penggalian,751
SUMATERA BARAT,LIMA PULUH KOTA,1308,Industri pengolahan,"3,822"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Listrik dan gas,39
SUMATERA BARAT,LIMA PULUH KOTA,1308,Bangunan /konstruksi,"3,015"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Perdagangan,"3,701"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Hotel dan rumah makan,631
SUMATERA BARAT,LIMA PULUH KOTA,1308,Transportasi dan pergudangan,"1,003"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Informasi & komunikasi,14
SUMATERA BARAT,LIMA PULUH KOTA,1308,Keuangan dan asuransi,29
SUMATERA BARAT,LIMA PULUH KOTA,1308,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",120
SUMATERA BARAT,LIMA PULUH KOTA,1308,Pemulung,"2,499"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Lainnya,763
SUMATERA BARAT,PASAMAN,1309,Pertanian tanaman padi & palawija,"26,365"
SUMATERA BARAT,PASAMAN,1309,Hortikultura,314
SUMATERA BARAT,PASAMAN,1309,Perkebunan,"10,528"
SUMATERA BARAT,PASAMAN,1309,Perikanan Tangkap,91
SUMATERA BARAT,PASAMAN,1309,Perikanan Budidaya,175
SUMATERA BARAT,PASAMAN,1309,Peternakan,97
SUMATERA BARAT,PASAMAN,1309,Kehutanan/ pertanian lainnya,347
SUMATERA BARAT,PASAMAN,1309,Pertambangan /penggalian,347
SUMATERA BARAT,PASAMAN,1309,Industri pengolahan,514
SUMATERA BARAT,PASAMAN,1309,Listrik dan gas,8
SUMATERA BARAT,PASAMAN,1309,Bangunan /konstruksi,"1,113"
SUMATERA BARAT,PASAMAN,1309,Perdagangan,"1,690"
SUMATERA BARAT,PASAMAN,1309,Hotel dan rumah makan,85
SUMATERA BARAT,PASAMAN,1309,Transportasi dan pergudangan,549
SUMATERA BARAT,PASAMAN,1309,Informasi & komunikasi,11
SUMATERA BARAT,PASAMAN,1309,Keuangan dan asuransi,10
SUMATERA BARAT,PASAMAN,1309,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",75
SUMATERA BARAT,PASAMAN,1309,Pemulung,673
SUMATERA BARAT,PASAMAN,1309,Lainnya,983
SUMATERA BARAT,SOLOK SELATAN,1310,Pertanian tanaman padi & palawija,"7,734"
SUMATERA BARAT,SOLOK SELATAN,1310,Hortikultura,200
SUMATERA BARAT,SOLOK SELATAN,1310,Perkebunan,"2,820"
SUMATERA BARAT,SOLOK SELATAN,1310,Perikanan Tangkap,67
SUMATERA BARAT,SOLOK SELATAN,1310,Perikanan Budidaya,5
SUMATERA BARAT,SOLOK SELATAN,1310,Peternakan,174
SUMATERA BARAT,SOLOK SELATAN,1310,Kehutanan/ pertanian lainnya,289
SUMATERA BARAT,SOLOK SELATAN,1310,Pertambangan /penggalian,"1,204"
SUMATERA BARAT,SOLOK SELATAN,1310,Industri pengolahan,192
SUMATERA BARAT,SOLOK SELATAN,1310,Listrik dan gas,19
SUMATERA BARAT,SOLOK SELATAN,1310,Bangunan /konstruksi,813
SUMATERA BARAT,SOLOK SELATAN,1310,Perdagangan,928
SUMATERA BARAT,SOLOK SELATAN,1310,Hotel dan rumah makan,36
SUMATERA BARAT,SOLOK SELATAN,1310,Transportasi dan pergudangan,216
SUMATERA BARAT,SOLOK SELATAN,1310,Informasi & komunikasi,4
SUMATERA BARAT,SOLOK SELATAN,1310,Keuangan dan asuransi,20
SUMATERA BARAT,SOLOK SELATAN,1310,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",147
SUMATERA BARAT,SOLOK SELATAN,1310,Pemulung,451
SUMATERA BARAT,SOLOK SELATAN,1310,Lainnya,273
SUMATERA BARAT,DHARMASRAYA,1311,Pertanian tanaman padi & palawija,"1,580"
SUMATERA BARAT,DHARMASRAYA,1311,Hortikultura,48
SUMATERA BARAT,DHARMASRAYA,1311,Perkebunan,"6,485"
SUMATERA BARAT,DHARMASRAYA,1311,Perikanan Tangkap,26
SUMATERA BARAT,DHARMASRAYA,1311,Perikanan Budidaya,3
SUMATERA BARAT,DHARMASRAYA,1311,Peternakan,86
SUMATERA BARAT,DHARMASRAYA,1311,Kehutanan/ pertanian lainnya,307
SUMATERA BARAT,DHARMASRAYA,1311,Pertambangan /penggalian,406
SUMATERA BARAT,DHARMASRAYA,1311,Industri pengolahan,130
SUMATERA BARAT,DHARMASRAYA,1311,Listrik dan gas,6
SUMATERA BARAT,DHARMASRAYA,1311,Bangunan /konstruksi,409
SUMATERA BARAT,DHARMASRAYA,1311,Perdagangan,482
SUMATERA BARAT,DHARMASRAYA,1311,Hotel dan rumah makan,37
SUMATERA BARAT,DHARMASRAYA,1311,Transportasi dan pergudangan,126
SUMATERA BARAT,DHARMASRAYA,1311,Informasi & komunikasi,8
SUMATERA BARAT,DHARMASRAYA,1311,Keuangan dan asuransi,11
SUMATERA BARAT,DHARMASRAYA,1311,"Jasa Pendidikan, Kesehatan, Kemasyarakatan, Pemerintahan & Perorangan",11
SUMATERA BARAT,DHARMASRAYA,1311,Pemulung,284
SUMATERA BARAT,DHARMASRAYA,1311,Lainnya,207
SUMATERA BARAT,PASAMAN BARAT,1312,Pertanian tanaman padi & palawija,"24,578"
SUMATERA BARAT,PASAMAN BARAT,1312,Hortikultura,579
SUMATERA BARAT,PASAMAN BARAT,1312,Perkebunan,"17,245"
SUMATERA BARAT,PASAMAN BARAT,1312,Perikanan Tangkap,"3,145"
SUMATERA BARAT,PASAMAN BARAT,1312,Perikanan Budidaya,34
SUMATERA BARAT,PASAMAN BARAT,1312,Peternakan,248
